City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
332,Westerland,DE,83.01,clear sky,54.9079,8.3033,Dorint Strandresort & Spa Westerland / Sylt
334,Sibolga,ID,76.84,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
335,San Cristobal,VE,80.78,few clouds,7.7669,-72.225,Pirineos
339,Tarsus,TR,87.57,few clouds,36.9188,34.8784,Osmanli Marco Pasha Hotel
340,Lata,PT,84.49,clear sky,40.1629,-8.3327,Casa Maquia
346,Zlobin,HR,80.15,few clouds,45.2924,14.6541,Hotel Bitoraj Fuzine
347,Bokajan,IN,81.46,broken clouds,26.0167,93.7833,Priyanka Lodge
350,Myanaung,MM,79.84,light rain,18.2833,95.3167,Taung Hlay Khar
352,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
358,Dzialdowo,PL,76.82,broken clouds,53.2396,20.17,VARIA
359,Dessalines,HT,86.02,clear sky,19.2833,-72.5,Hôtel Rayon de Lumière
362,Andros Town,BS,83.98,clear sky,24.7,-77.7667,Hanks place
363,Malu Cu Flori,RO,78.19,overcast clouds,45.15,25.2,Căsuța Verde
365,Alenquer,BR,89.15,overcast clouds,-1.9417,-54.7383,Detinha Hotel
367,Mahibadhoo,MV,81.75,few clouds,3.7833,72.9667,Omadhoo Inn
368,Newala,TZ,75.52,overcast clouds,-10.9431,39.2787,Mnyeu Newala
373,Gorontalo,ID,75.88,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
374,Daru,PG,76.19,overcast clouds,-9.0763,143.2092,Daru Lodge
380,Kailua,US,78.78,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
383,Nagato,JP,81.14,light rain,34.3833,131.2,いそう庵
384,Dong Hoi,VN,81.09,overcast clouds,17.4833,106.6,Nam Long Hotel
389,Caravelas,BR,83.93,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
392,Porto Santo,PT,75.58,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
398,Upington,ZA,81.75,overcast clouds,-28.4478,21.2561,River Place Manor
400,Kirakira,SB,78.21,moderate rain,-10.4544,161.9205,SanBiz Lodge
401,Harper,LR,79.68,broken clouds,4.375,-7.7169,Screensaver
402,Ojinaga,MX,84.42,clear sky,29.5667,-104.4167,Suites Las Palmas
404,Carora,VE,83.39,scattered clouds,10.1755,-70.0827,Hotel Irpinia
408,Alta Floresta,BR,83.32,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
411,Sao Joao Da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
412,Amahai,ID,77.13,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
413,Meulaboh,ID,79.14,broken clouds,4.1363,96.1285,Kost Pria
416,Mangan,IN,76.69,scattered clouds,27.5167,88.5333,Hotel Mout View
417,Yueyang,CN,88.66,overcast clouds,29.3333,113.0919,Delong Fortune Hotel
418,Oistins,BB,82.83,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
421,Takoradi,GH,79.9,overcast clouds,4.8845,-1.7554,Raybow International Hotel
422,Kuching,MY,82.62,few clouds,1.55,110.3333,Hilton Kuching
423,Alofi,NU,77.27,few clouds,-19.0595,-169.9187,Taloa Heights
425,Corinth,GR,89.89,clear sky,37.9407,22.9573,Ephira Hotel
427,Ndola,ZM,81.95,clear sky,-12.9587,28.6366,Chabanga Lodge iSpot
429,Kyaikto,MM,78.35,heavy intensity rain,17.3,97.0167,နီလာ တည်းခိုခန်း
433,Santa Rosa,PH,81.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
435,Demyansk,RU,75.18,few clouds,57.643,32.466,Demyanskaya Gostinitsa
437,Ko Samui,TH,84.0,overcast clouds,9.5357,99.9357,The Passage
440,Paredon,MX,78.31,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
441,Coahuayana,MX,79.43,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
443,Dingzhou,CN,75.56,clear sky,38.5131,114.9956,宜家时尚宾馆
444,Kulhudhuffushi,MV,81.09,broken clouds,6.6221,73.07,Haajy Guest House 1
445,Carbonia,IT,88.45,few clouds,39.1672,8.5222,Lu 'Hotel
446,Sao Gabriel Da Cachoeira,BR,76.24,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
447,Sembakung,ID,75.31,overcast clouds,3.8167,117.25,
452,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
453,Gogrial,SS,82.49,light rain,8.5332,28.1004,
454,Komsomolets,KZ,81.54,scattered clouds,53.7453,62.0708,Avtostoyanka
455,Morehead,US,75.94,overcast clouds,37.2711,-87.1764,CCI Express Inn
457,Soke,ML,88.21,overcast clouds,13.598,-5.9386,
459,Puerto Escondido,MX,76.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
460,Tabuk,PH,76.21,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
461,Tayu,ID,80.73,few clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
464,Vila Franca Do Campo,PT,75.61,clear sky,37.7167,-25.4333,Pestana Bahia Praia
467,Long Beach,US,78.01,clear sky,33.767,-118.1892,The Westin Long Beach
472,Dingle,PH,77.23,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
473,Nicoya,CR,77.81,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
474,Yanam,IN,80.56,overcast clouds,16.7333,82.2167,The Regency Hotel
476,Ranong,TH,78.82,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
477,Chichica,PA,77.74,overcast clouds,8.4922,-82.1627,
478,Fairview,US,81.88,few clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
479,Moroni,KM,76.48,broken clouds,-11.7022,43.2551,Hotel Les Arcades
481,Watertown,US,77.99,broken clouds,42.3709,-71.1828,16 Washburn Street Watertown MA
482,Isla Mujeres,MX,82.45,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
483,Garowe,SO,83.57,overcast clouds,8.4054,48.4845,Curubo Hotel
484,Wilmington,US,86.0,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
485,Veraval,IN,80.67,overcast clouds,20.9,70.3667,Lords Inn Somnath
487,Artvin,TR,79.16,scattered clouds,41.1667,41.8333,Koru Butik Otel
491,Avera,US,78.55,overcast clouds,33.194,-82.5271,
493,Manokwari,ID,78.73,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
495,Cockburn Town,TC,81.45,clear sky,21.4612,-71.1419,Osprey Beach Hotel
497,Jishou,CN,84.49,overcast clouds,28.3167,109.7167,7 Days Inn
507,Ngerengere,TZ,80.76,broken clouds,-6.75,38.1167,
508,San Patricio,US,86.18,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
511,Wagar,SD,89.83,overcast clouds,16.1525,36.2032,
513,Anito,PH,78.58,scattered clouds,12.4497,125.2886,El Felix Cottages
518,Luleburgaz,TR,89.87,scattered clouds,41.4039,27.3592,alparslan rant a car
519,San Andres,CO,80.62,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
522,Houston,US,82.31,scattered clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
524,Nishihara,JP,83.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
525,Kralendijk,BQ,81.84,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
526,Belmonte,BR,80.96,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
527,Makasar,ID,77.05,few clouds,-5.14,119.4221,Aryaduta Makassar
529,West Bay,KY,88.07,overcast clouds,19.3667,-81.4167,Calypso Cove
537,Saraland,US,82.09,overcast clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
540,Lukhovitsy,RU,76.21,clear sky,54.9728,39.0361,Mini Hotel Pyaty Okean
544,Pitlochry,GB,80.89,clear sky,56.7051,-3.7343,The Old Mill Inn
545,Mitu,CO,76.98,few clouds,1.1983,-70.1733,
546,Zvishavane,ZW,78.94,clear sky,-20.3267,30.0665,Hotel Boutique Runde
547,Erenhot,CN,79.68,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
548,Bonthe,SL,78.13,light rain,7.5264,-12.505,Bonthe Holiday Village
552,Bucerias,MX,81.99,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
553,Muros,ES,75.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
555,Lasa,IT,79.7,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
559,Warri,NG,78.4,light rain,5.5167,5.75,GT Guesthouse
561,Samana,DO,84.42,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
562,Sinnamary,GF,82.78,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
564,Labrea,BR,82.6,scattered clouds,-7.2586,-64.7981,Hotel Novo Horizonte
565,Kamphaeng Phet,TH,79.16,moderate rain,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
567,Keti Bandar,PK,80.94,overcast clouds,24.1447,67.4497,Haji laloo memon house
569,Mogadishu,SO,77.25,few clouds,2.0371,45.3438,Hotel Juba
572,Henderson,US,84.67,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
574,Amapa,BR,89.69,few clouds,1.0,-52.0,
575,Porbandar,IN,80.85,heavy intensity rain,21.6422,69.6093,Lords Inn Porbandar
582,Lahaina,US,79.81,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
586,Puerto Ayacucho,VE,79.45,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
587,Pecos,US,79.86,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
589,Bandarbeyla,SO,79.77,broken clouds,9.4942,50.8122,JABIR HOTEL
590,Kant,IN,89.29,scattered clouds,27.8,79.8,Sumit Verma
593,Sikasso,ML,84.65,overcast clouds,10.9167,-7.0,
594,Shimoda,JP,77.11,light rain,34.6667,138.95,Shimoda Tokyu Hotel
598,Barkly West,ZA,80.69,clear sky,-28.5354,24.5215,Stafford Parker Guest House
599,Brezice,SI,83.62,clear sky,45.9033,15.5911,Hostel Brežice
603,Wladyslawowo,PL,80.94,scattered clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
607,Yala,TH,76.59,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
608,Camocim,BR,88.07,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
610,Kurchum,KZ,79.25,scattered clouds,48.5722,83.6542,"""Kneda"" Hotel"
614,Peterhead,GB,84.6,clear sky,57.5058,-1.7981,Palace Hotel
616,Mount Pleasant,US,86.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
618,Ixtapa,MX,81.23,overcast clouds,20.7,-105.2,hotel la terminal
623,Romitan,UZ,89.55,clear sky,39.9343,64.3814,Hotel Temur
626,Apostolove,UA,79.63,light rain,47.66,33.7137,Гостиница Приют
627,Cukai,MY,79.9,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
629,Russell,US,78.01,overcast clouds,32.3502,-85.1999,Macs
630,Cariati,IT,81.55,broken clouds,39.4922,16.9594,La Residenza
631,Parrita,CR,81.93,overcast clouds,9.5201,-84.3225,Beso del Viento
633,Kasama,ZM,79.03,clear sky,-10.2129,31.1808,Kalebalika Cottages
635,Neiafu,TO,78.53,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
636,Tranas,SE,79.39,clear sky,58.0372,14.9782,Badhotellet Spa & Konferens Hotel
641,Kalianget,ID,81.88,few clouds,-7.05,113.9333,Pesanggrahan Garam
648,Bud,US,76.75,clear sky,39.447,-86.1758,Ted McQuinn Trust
654,Namioka,JP,75.74,moderate rain,40.7072,140.5894,Restaurant & INN Sunrise
656,Tulsipur,NP,76.84,scattered clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
659,Thinadhoo,MV,81.82,scattered clouds,0.5333,72.9333,
660,Cayenne,GF,85.46,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
662,Greece,US,76.87,scattered clouds,43.2098,-77.6931,"Homewood Suites by Hilton Rochester/Greece, NY"
664,Karpathos,GR,80.56,few clouds,35.507,27.2132,Alex
665,Port-Gentil,GA,76.01,overcast clouds,-0.7193,8.7815,Fengshui Residence
668,Kizukuri,JP,75.94,moderate rain,40.8061,140.3861,Kashiwa Roman-sō
671,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
674,Ypsonas,CY,85.17,few clouds,34.6884,32.9574,Club Aphrodite
676,Pangai,TO,76.08,light rain,-19.8,-174.35,Ha'apai Beach Resort
677,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
678,Keokuk,US,79.27,clear sky,40.3973,-91.3849,Hampton Inn Keokuk
683,Batticaloa,LK,80.92,broken clouds,7.7102,81.6924,Grand Star Guest House
684,Sabang,ID,82.85,overcast clouds,5.8933,95.3214,Hotel Citra
685,Peniche,PT,83.08,few clouds,39.3558,-9.3811,Hotel Star inn Peniche
687,Ati,TD,89.78,overcast clouds,13.2154,18.3353,
691,Baoding,CN,75.49,clear sky,38.8511,115.4903,Xiu Lan Hotel
693,Great Yarmouth,GB,88.07,clear sky,52.6083,1.7305,Comfort Hotel Great Yarmouth
697,Auki,SB,76.21,overcast clouds,-8.7676,160.7034,Auki Motel
698,Mandera,KE,83.7,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
699,Nago,JP,82.83,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
700,Clones,IE,77.49,clear sky,54.1833,-7.2333,Creighton Hotel
701,Aviles,ES,87.37,fog,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
703,Kasaoka,JP,87.01,overcast clouds,34.5,133.5,Kasaoka Grand Hotel
704,Mitoc,RO,76.69,overcast clouds,48.1,27.0333,Alexsrl
707,Paicol,CO,80.62,few clouds,2.4496,-75.775,Posada camino guanacas
